CountryName,CountryCode,Population growth,Total population,Area (sq. km),International Visitors,Coronavirus Cases
Brazil,BRA,0.817555711,207652865.0,8358140.0,B,59324
Switzerland,CHE,1.077221168,8372098.0,39516.0,B,29061
Germany,DEU,1.193866758,82667685.0,348900.0,A,156727
Denmark,DNK,0.834637611,4998162.0,42262.0,B,8575
Spain,ESP,-0.008048086,46443959.0,500210.0,A,223759
France,FRA,0.407491036,66896109.0,547557.0,A,161488
Japan,JPN,-0.115284177,126994511.0,364560.0,B,13231
Greece,GRC,-0.687542545,10746740.0,128900.0,C,2506
Iran,IRN,1.1487886,80277428.0,1628760.0,D,90481
Kuwait,KWT,2.924206194,4052584.0,31129.333333333332,C,3075
Morocco,MAR,0.046348993333333345,35276786.0,446300.0,C,4047
Nigeria,NGA,2.619033526,185989640.0,910770.0,D,1182
Qatar,QAT,3.495069918,2569804.0,11610.0,B,10287
Sweden,SWE,0.4081054113333333,9903122.0,407310.0,C,18640
India,IND,1.148214693,1324171354.0,2973190.0,B,26917
